Arizona Diamondbacks,ari,webcal://mlb.am/tix/diamondbacks_schedule_full
Atlanta Braves,atl,webcal://mlb.am/tix/braves_schedule_full
Baltimore Orioles,bal,webcal://mlb.am/tix/orioles_schedule_full
Boston Red Sox,bos,webcal://mlb.am/tix/redsox_schedule_full
Chicago White Sox,cws,webcal://mlb.am/tix/whitesox_schedule_full
Chicago Cubs,chc,webcal://mlb.am/tix/cubs_schedule_full
Cinncinnati Reds,cin,webcal://mlb.am/tix/reds_schedule_full
Cleveland Indians,cle,webcal://mlb.am/tix/indians_schedule_full
Colorado Rockies,col,webcal://mlb.am/tix/rockies_schedule_full
Detroit Tigers,det,webcal://mlb.am/tix/tigers_schedule_full
Houston Astros,hou,webcal://mlb.am/tix/astros_schedule_full
Kansas City Royals,kc,webcal://mlb.am/tix/royals_schedule_full
Los Angeles Angels,ana,webcal://mlb.am/tix/angels_schedule_full
Los Angeles Dodgers,la,webcal://mlb.am/tix/dodgers_schedule_full
Miami Marlins,mia,webcal://mlb.am/tix/marlins_schedule_full
Milwaukee Brewers,mil,webcal://mlb.am/tix/brewers_schedule_full
Minnesota Twins,min,webcal://mlb.am/tix/twins_schedule_full
New York Mets,nym,webcal://mlb.am/tix/mets_schedule_full
New York Yankees,nyy,webcal://mlb.am/tix/yankees_schedule_full
Oakland Athletics,oak,webcal://mlb.am/tix/athletics_schedule_full
Philadelphia Phillies,phi,webcal://mlb.am/tix/phillies_schedule_full
Pittsburgh Pirates,pit,webcal://mlb.am/tix/pirates_schedule_full
San Diego Padres,sd,webcal://mlb.am/tix/padres_schedule_full
San Francisco Giants,sf,webcal://mlb.am/tix/giants_schedule_full
Seattle Mariners,sea,webcal://mlb.am/tix/mariners_schedule_full
St. Louis Cardinals,stl,webcal://mlb.am/tix/cardinals_schedule_full
Tampa Bay Rays,tb,webcal://mlb.am/tix/rays_schedule_full
Texas Rangers,tex,webcal://mlb.am/tix/rangerss_schedule_full
Toronto Blue Jays,tor,webcal://mlb.am/tix/bluejays_schedule_full
Washington Nationals,was,webcal://mlb.am/tix/nationals_schedule_full